"","marker","patient_id","group","Expression","signif","marker_title"
"230","CD45","RPs097B","RP",1.04771334387028,"***","CD45 ***"
"231","CD45","RPs098B","MP",0.524746765276337,"***","CD45 ***"
"232","CD45","RPs098B","RP",1.0592832213332,"***","CD45 ***"
"233","CD45","RPs103B","MP",0.23078046142992,"***","CD45 ***"
"234","CD45","RPs103B","RP",0.637504311652883,"***","CD45 ***"
"235","CD45","RPS111B","MP",0.461748316401084,"***","CD45 ***"
"236","CD45","RPS111B","RP",1.06828990773704,"***","CD45 ***"
"237","CD45","RPS136B","MP",0.516693349772476,"***","CD45 ***"
"238","CD45","RPS136B","RP",1.06250415370422,"***","CD45 ***"
"239","CD45","RPs150B","MP",0.348475775698182,"***","CD45 ***"
"240","CD45","RPs150B","RP",0.82798076778239,"***","CD45 ***"
"241","CD45","RPs154B","MP",0.377886902613776,"***","CD45 ***"
"242","CD45","RPs154B","RP",0.885298173039878,"***","CD45 ***"
"243","CD47","RPs137B","MP",1.82836809215933,"***","CD47 ***"
"244","CD47","RPs137B","RP",2.52710137371185,"***","CD47 ***"
"245","CD47","RPs138B","MP",2.38341824144414,"***","CD47 ***"
"246","CD47","RPs138B","RP",3.20017825429918,"***","CD47 ***"
"247","CD47","RPs139B","MP",2.1146637169949,"***","CD47 ***"
"248","CD47","RPs139B","RP",2.95201215045722,"***","CD47 ***"
"249","CD47","RPs144B","MP",2.33127597972891,"***","CD47 ***"
"250","CD47","RPs144B","RP",3.14538911023188,"***","CD47 ***"
"251","CD47","RPs097B","MP",1.49915946850203,"***","CD47 ***"
"252","CD47","RPs097B","RP",2.22098849360501,"***","CD47 ***"
"253","CD47","RPs098B","MP",2.47834466298295,"***","CD47 ***"
"254","CD47","RPs098B","RP",3.28053064723725,"***","CD47 ***"
"255","CD47","RPs103B","MP",1.97282423481448,"***","CD47 ***"
"256","CD47","RPs103B","RP",2.65922501202163,"***","CD47 ***"
"257","CD47","RPS111B","MP",1.64190721018057,"***","CD47 ***"
"258","CD47","RPS111B","RP",2.45872958887751,"***","CD47 ***"
"259","CD47","RPS136B","MP",2.60069868573741,"***","CD47 ***"
"260","CD47","RPS136B","RP",3.3743492788218,"***","CD47 ***"
"261","CD47","RPs150B","MP",1.82488148296905,"***","CD47 ***"
"262","CD47","RPs150B","RP",2.59876873974209,"***","CD47 ***"
